Episode,Timestep,Action
58,2,"[[ 8.8053334e-01  1.0629640e+00 -2.8282270e+00 -1.5636638e-02
  -4.3005300e-01 -4.7707486e+00 -1.0665033e+00 -3.1264997e-01
   1.1328664e+00 -9.6290773e-01 -3.4874234e-01  6.2853020e-01
  -5.0095701e-01  1.7715697e+00 -1.2796191e+00  1.6415431e+00
   3.9797509e-01 -2.3381710e-03 -1.0928372e+00 -6.1915261e-01
   7.6141030e-02 -2.2869584e-01 -6.0678899e-01  1.6141826e+00]]"
59,2,"[[ 0.256424    1.6603436  -0.9088163   1.0553281  -1.4962554  -4.1155586
  -1.0810374   0.9910974   1.1190717  -0.45213628  0.05700919  0.97810644
  -0.207474    2.432284   -1.8222146   2.1391833   0.05980274 -1.2603878
  -1.2736123  -1.7525532  -0.5513606   0.47268963 -0.60867727  1.3241477 ]]"
60,2,"[[ 1.2095066   1.1448765  -1.2851086  -0.7371289  -1.4177012  -3.5263066
  -0.7791225   0.2801593   2.1486752   0.20063537 -0.51556545  1.0188394
  -1.5269353   1.1807731  -1.7253683   1.2025657  -1.5396047  -1.4761739
  -0.7840968  -0.87684214  0.6884162  -0.5091016  -0.48102933  1.0209304 ]]"
61,2,"[[ 1.069233    1.2048866  -1.6812766  -0.3397913  -1.2989109  -4.825755
  -0.8427234   1.429603    1.7594031  -0.05580741  0.45765132  0.5251092
  -0.81563735  1.1912861  -0.01915085  1.5548728  -0.5433227  -0.21692371
  -0.8548197  -0.42135662 -0.45293197  0.4367258  -0.66374385  0.50606406]]"
62,2,"[[ 0.88198966  0.18485233 -2.1625893  -1.1855937  -1.2673408  -4.3715744
   0.6828835   1.4904258   1.6251074  -0.7279835  -0.26873702  1.711076
  -0.1997689   1.1807989  -0.874396    2.4122186  -1.3350171  -0.41792732
   0.88155186 -0.3502391  -0.85183525  0.14876841 -1.5104955   3.2020383 ]]"
63,2,"[[ 0.62018085  0.6188886  -2.314263    1.1914073  -0.22202629 -4.9745455
  -0.46020898  1.4004327   1.6490462  -0.50432223 -0.3255886  -0.19742966
  -0.35027954  2.299991   -0.71948826  1.1614547  -0.4430866  -0.34176904
  -1.0062089  -0.75493777 -0.4098233   0.02668169 -1.0777583   2.0192251 ]]"
64,2,"[[ 1.1370846   0.6271584  -2.1706567   0.4049881   0.09647226 -5.2321863
  -0.05910534  1.9310656   1.7300334  -0.31264794 -0.16196725  0.44658136
  -1.08889     1.3921044  -0.5482848   2.3639219  -0.7173929  -0.93806386
  -0.23147911 -0.8316754  -0.15246731 -0.522198   -0.8856775   1.2698352 ]]"
65,2,"[[ 0.43401212  0.79255724 -2.6845388   0.4440055   0.03270805 -4.797698
  -0.22744644  0.66997254  3.4686332  -1.0904647   0.0734506   0.6355413
  -0.95606214  1.5436692  -1.7120669   1.0619361   0.06025153  0.0404073
  -0.79033214 -0.43042564  0.0192706   0.54452574 -0.09613711  1.9177933 ]]"
66,2,"[[ 1.5320485   0.16056934 -1.9906671  -0.18580058 -1.0758243  -4.156334
  -0.5515895   1.9747232   1.7041619  -0.58746445 -1.608886    0.13090146
  -0.9671581   1.3936157   0.30423892  1.1178694  -0.7475435  -0.44871968
   0.9517442  -1.0900882   0.29654095 -0.31156197 -0.8000011   2.0866876 ]]"
67,2,"[[ 0.7009359  -0.09692526 -0.89611244  0.7337551  -1.4582133  -4.404931
  -1.0113419   0.97572863  1.5731268  -1.2173913   0.15229023  0.6975825
  -1.3330011   1.7573094  -1.2337186   2.3437595  -0.8154825  -0.64450514
  -0.73071074 -1.460418    0.23043159  0.39456242 -0.91228265  2.819636  ]]"
